               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.030649,           0.0099747,           0.0043608,             0.99038,             0.99993,               0.995,             0.71898,            0.022758,           0.0066108,           0.0013337,            0.005479,            0.005479,            0.005479
                 139,            0.026397,            0.010916,           0.0050451,             0.99189,                   1,               0.995,             0.76271,            0.019238,            0.005299,           0.0013835,            0.005446,            0.005446,            0.005446
                 140,            0.026741,           0.0098914,           0.0049043,             0.99181,                   1,               0.995,             0.79587,            0.018268,           0.0052538,           0.0014417,            0.005413,            0.005413,            0.005413
                 141,            0.026986,           0.0099027,           0.0046102,             0.98991,                   1,               0.995,             0.74169,            0.021888,           0.0053852,           0.0014255,             0.00538,             0.00538,             0.00538
                 142,            0.029836,            0.010297,           0.0050089,             0.98855,                   1,               0.995,             0.75589,            0.019509,           0.0050907,           0.0014551,            0.005347,            0.005347,            0.005347
                 143,            0.026437,            0.010154,            0.005358,             0.99219,                   1,               0.995,             0.77239,            0.017807,           0.0051227,           0.0015029,            0.005314,            0.005314,            0.005314
                 144,            0.026946,             0.01013,           0.0061528,             0.99274,             0.99988,               0.995,             0.78741,             0.01917,            0.005488,           0.0014872,            0.005281,            0.005281,            0.005281
                 145,            0.027351,           0.0095264,           0.0032763,             0.98971,                   1,               0.995,             0.74388,            0.021519,           0.0053178,           0.0015569,            0.005248,            0.005248,            0.005248
                 146,            0.027221,            0.010563,           0.0060312,             0.99753,                   1,               0.995,             0.80899,            0.017938,           0.0052767,            0.001482,            0.005215,            0.005215,            0.005215
                 147,            0.023803,            0.010361,           0.0042911,             0.99587,                   1,               0.995,                0.79,            0.017619,           0.0053421,           0.0012986,            0.005182,            0.005182,            0.005182
                 148,            0.025441,            0.009796,           0.0040452,             0.99115,                   1,               0.995,             0.75618,            0.021615,           0.0054668,             0.00119,            0.005149,            0.005149,            0.005149
                 149,            0.025653,           0.0091527,           0.0041781,             0.99459,                   1,               0.995,             0.73051,            0.021012,           0.0051657,           0.0011685,            0.005116,            0.005116,            0.005116
                 150,            0.025365,            0.009283,           0.0041591,             0.99617,                   1,               0.995,             0.80015,            0.018136,           0.0050852,           0.0011181,            0.005083,            0.005083,            0.005083
                 151,            0.025478,            0.008988,           0.0034966,             0.99357,                   1,               0.995,             0.71239,            0.022316,           0.0051157,           0.0011504,             0.00505,             0.00505,             0.00505
                 152,            0.024618,           0.0093937,           0.0039376,             0.99593,                   1,               0.995,             0.75947,            0.018998,            0.004977,           0.0011929,            0.005017,            0.005017,            0.005017
                 153,            0.026312,           0.0089694,           0.0042481,             0.99746,                   1,               0.995,             0.78032,            0.022439,            0.005048,           0.0011922,            0.004984,            0.004984,            0.004984
                 154,            0.026846,           0.0097401,           0.0042082,              0.9962,                   1,               0.995,             0.77288,            0.019264,            0.005003,           0.0011738,            0.004951,            0.004951,            0.004951
